DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High	Tetraplex_Low	Tetraplex_High	Pentaplex_Low	Pentaplex_High
87	0.103448276	0.229885057	0.252873563	0.413793103	0.413793103	0.586206897	0.586206897	0.747126437	0.770114943	0.896551724
88	0.102272727	0.238636364	0.25	0.420454545	0.409090909	0.579545455	0.579545455	0.75	0.761363636	0.897727273
89	0.101123596	0.235955056	0.247191011	0.415730337	0.415730337	0.584269663	0.584269663	0.752808989	0.764044944	0.898876404
90	0.1	0.233333333	0.255555556	0.422222222	0.411111111	0.588888889	0.588888889	0.744444444	0.766666667	0.9
91	0.10989011	0.230769231	0.252747253	0.417582418	0.417582418	0.582417582	0.582417582	0.747252747	0.769230769	0.89010989
92	0.108695652	0.22826087	0.25	0.413043478	0.413043478	0.586956522	0.586956522	0.75	0.760869565	0.891304348
93	0.107526882	0.23655914	0.258064516	0.419354839	0.419354839	0.580645161	0.580645161	0.741935484	0.76344086	0.892473118
94	0.106382979	0.234042553	0.255319149	0.414893617	0.414893617	0.585106383	0.585106383	0.744680851	0.765957447	0.893617021
95	0.105263158	0.231578947	0.252631579	0.410526316	0.421052632	0.589473684	0.589473684	0.747368421	0.768421053	0.894736842
96	0.104166667	0.229166667	0.260416667	0.416666667	0.416666667	0.583333333	0.583333333	0.739583333	0.770833333	0.895833333
97	0.103092784	0.226804124	0.257731959	0.412371134	0.412371134	0.587628866	0.587628866	0.742268041	0.773195876	0.896907216
98	0.112244898	0.234693878	0.255102041	0.418367347	0.418367347	0.581632653	0.591836735	0.744897959	0.765306122	0.887755102
99	0.111111111	0.232323232	0.262626263	0.414141414	0.414141414	0.585858586	0.585858586	0.747474747	0.767676768	0.888888889
100	0.11	0.23	0.26	0.41	0.42	0.58	0.59	0.74	0.77	0.89
101	0.108910891	0.227722772	0.257425743	0.405940594	0.415841584	0.584158416	0.584158416	0.742574257	0.772277228	0.891089109
102	0.107843137	0.225490196	0.254901961	0.411764706	0.421568627	0.578431373	0.588235294	0.745098039	0.764705882	0.892156863
103	0.106796117	0.233009709	0.262135922	0.40776699	0.417475728	0.582524272	0.59223301	0.737864078	0.766990291	0.893203883
104	0.105769231	0.230769231	0.259615385	0.413461538	0.423076923	0.576923077	0.586538462	0.740384615	0.769230769	0.894230769
105	0.104761905	0.228571429	0.257142857	0.40952381	0.419047619	0.580952381	0.59047619	0.742857143	0.771428571	0.895238095
106	0.103773585	0.226415094	0.264150943	0.405660377	0.41509434	0.58490566	0.594339623	0.745283019	0.773584906	0.886792453
107	0.112149533	0.224299065	0.261682243	0.411214953	0.420560748	0.579439252	0.588785047	0.738317757	0.775700935	0.887850467
108	0.111111111	0.222222222	0.259259259	0.407407407	0.425925926	0.583333333	0.592592593	0.740740741	0.768518519	0.888888889
109	0.110091743	0.229357798	0.256880734	0.412844037	0.422018349	0.577981651	0.587155963	0.743119266	0.770642202	0.889908257
110	0.109090909	0.227272727	0.254545455	0.409090909	0.418181818	0.572727273	0.590909091	0.736363636	0.772727273	0.890909091
111	0.108108108	0.225225225	0.261261261	0.405405405	0.423423423	0.576576577	0.585585586	0.738738739	0.774774775	0.891891892
112	0.107142857	0.223214286	0.258928571	0.410714286	0.419642857	0.580357143	0.589285714	0.741071429	0.776785714	0.892857143
113	0.115044248	0.230088496	0.265486726	0.407079646	0.424778761	0.575221239	0.592920354	0.734513274	0.778761062	0.89380531
114	0.114035088	0.228070175	0.263157895	0.403508772	0.421052632	0.578947368	0.596491228	0.736842105	0.771929825	0.885964912
115	0.113043478	0.226086957	0.260869565	0.408695652	0.426086957	0.573913043	0.591304348	0.739130435	0.773913043	0.886956522
116	0.112068966	0.224137931	0.267241379	0.405172414	0.422413793	0.577586207	0.594827586	0.74137931	0.775862069	0.887931034
117	0.111111111	0.222222222	0.264957265	0.41025641	0.427350427	0.581196581	0.58974359	0.735042735	0.777777778	0.888888889
118	0.110169492	0.220338983	0.262711864	0.406779661	0.423728814	0.576271186	0.593220339	0.737288136	0.779661017	0.889830508
119	0.109243697	0.226890756	0.260504202	0.403361345	0.420168067	0.579831933	0.596638655	0.739495798	0.773109244	0.890756303
120	0.116666667	0.225	0.266666667	0.408333333	0.425	0.575	0.591666667	0.733333333	0.775	0.883333333
121	0.115702479	0.223140496	0.26446281	0.404958678	0.429752066	0.570247934	0.595041322	0.73553719	0.776859504	0.884297521
122	0.114754098	0.221311475	0.262295082	0.401639344	0.426229508	0.573770492	0.598360656	0.737704918	0.778688525	0.885245902
123	0.113821138	0.219512195	0.260162602	0.406504065	0.422764228	0.577235772	0.593495935	0.731707317	0.780487805	0.886178862
124	0.112903226	0.225806452	0.266129032	0.403225806	0.427419355	0.572580645	0.596774194	0.733870968	0.774193548	0.887096774
125	0.112	0.224	0.264	0.4	0.432	0.576	0.6	0.736	0.776	0.888
126	0.111111111	0.222222222	0.261904762	0.404761905	0.420634921	0.571428571	0.595238095	0.738095238	0.777777778	0.888888889
127	0.11023622	0.220472441	0.267716535	0.401574803	0.42519685	0.57480315	0.598425197	0.732283465	0.779527559	0.88976378
128	0.1171875	0.2265625	0.265625	0.40625	0.4296875	0.5703125	0.6015625	0.734375	0.7734375	0.8828125
129	0.11627907	0.224806202	0.263565891	0.403100775	0.426356589	0.573643411	0.596899225	0.736434109	0.782945736	0.88372093
130	0.115384615	0.223076923	0.269230769	0.4	0.423076923	0.569230769	0.6	0.730769231	0.776923077	0.884615385
131	0.114503817	0.221374046	0.267175573	0.396946565	0.427480916	0.572519084	0.595419847	0.732824427	0.778625954	0.885496183
132	0.113636364	0.21969697	0.265151515	0.401515152	0.431818182	0.568181818	0.598484848	0.734848485	0.78030303	0.886363636
133	0.112781955	0.218045113	0.270676692	0.398496241	0.428571429	0.571428571	0.601503759	0.736842105	0.781954887	0.887218045
134	0.111940299	0.223880597	0.268656716	0.402985075	0.432835821	0.574626866	0.597014925	0.731343284	0.78358209	0.888059701
135	0.118518519	0.222222222	0.266666667	0.4	0.42962963	0.57037037	0.6	0.733333333	0.777777778	0.881481481
136	0.117647059	0.220588235	0.264705882	0.397058824	0.433823529	0.573529412	0.602941176	0.735294118	0.779411765	0.882352941
137	0.116788321	0.218978102	0.270072993	0.401459854	0.430656934	0.569343066	0.598540146	0.729927007	0.781021898	0.883211679
138	0.115942029	0.224637681	0.268115942	0.398550725	0.427536232	0.565217391	0.601449275	0.731884058	0.782608696	0.884057971
139	0.115107914	0.215827338	0.26618705	0.395683453	0.431654676	0.568345324	0.597122302	0.73381295	0.776978417	0.884892086
140	0.114285714	0.221428571	0.271428571	0.4	0.428571429	0.571428571	0.6	0.728571429	0.778571429	0.885714286
141	0.120567376	0.219858156	0.269503546	0.397163121	0.432624113	0.567375887	0.602836879	0.730496454	0.780141844	0.879432624
142	0.112676056	0.218309859	0.267605634	0.401408451	0.429577465	0.570422535	0.598591549	0.732394366	0.781690141	0.88028169
143	0.118881119	0.216783217	0.265734266	0.398601399	0.433566434	0.566433566	0.601398601	0.734265734	0.783216783	0.881118881
144	0.118055556	0.222222222	0.270833333	0.395833333	0.430555556	0.569444444	0.604166667	0.729166667	0.777777778	0.881944444
145	0.117241379	0.220689655	0.268965517	0.4	0.434482759	0.565517241	0.6	0.731034483	0.779310345	0.882758621
146	0.116438356	0.219178082	0.273972603	0.397260274	0.431506849	0.568493151	0.602739726	0.732876712	0.780821918	0.883561644
147	0.115646259	0.217687075	0.272108844	0.394557823	0.428571429	0.571428571	0.605442177	0.727891156	0.782312925	0.884353741
148	0.114864865	0.216216216	0.27027027	0.398648649	0.432432432	0.567567568	0.601351351	0.72972973	0.783783784	0.885135135
