DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High
176	0.198863636	0.306818182	0.4375	0.5625	0.693181818	0.801136364
177	0.197740113	0.305084746	0.440677966	0.559322034	0.694915254	0.802259887
178	0.196629213	0.303370787	0.438202247	0.561797753	0.696629213	0.803370787
179	0.195530726	0.30726257	0.43575419	0.558659218	0.69273743	0.804469274
180	0.2	0.305555556	0.438888889	0.561111111	0.694444444	0.8
181	0.198895028	0.303867403	0.44198895	0.563535912	0.696132597	0.801104972
182	0.197802198	0.302197802	0.43956044	0.56043956	0.697802198	0.802197802
183	0.196721311	0.306010929	0.43715847	0.557377049	0.699453552	0.803278689
184	0.201086957	0.304347826	0.440217391	0.559782609	0.695652174	0.804347826
185	0.2	0.302702703	0.437837838	0.562162162	0.697297297	0.8
186	0.198924731	0.301075269	0.440860215	0.559139785	0.698924731	0.801075269
187	0.197860963	0.304812834	0.438502674	0.561497326	0.695187166	0.802139037
188	0.196808511	0.303191489	0.441489362	0.558510638	0.696808511	0.803191489
189	0.195767196	0.301587302	0.439153439	0.560846561	0.698412698	0.798941799
190	0.2	0.305263158	0.442105263	0.557894737	0.7	0.8
191	0.19895288	0.303664921	0.439790576	0.560209424	0.696335079	0.80104712
192	0.197916667	0.302083333	0.442708333	0.557291667	0.697916667	0.796875
193	0.202072539	0.300518135	0.440414508	0.559585492	0.699481865	0.803108808
194	0.201030928	0.298969072	0.443298969	0.556701031	0.695876289	0.798969072
195	0.2	0.302564103	0.441025641	0.558974359	0.697435897	0.8
196	0.198979592	0.301020408	0.443877551	0.56122449	0.698979592	0.801020408
197	0.197969543	0.299492386	0.441624365	0.558375635	0.700507614	0.802030457
198	0.202020202	0.303030303	0.439393939	0.555555556	0.696969697	0.797979798
199	0.201005025	0.301507538	0.442211055	0.557788945	0.698492462	0.798994975
200	0.2	0.3	0.445	0.555	0.7	0.8
